字段名,数据类型,示例值,解释,备注,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
宝尊集团组织架构表（xqc_ods.baozun_shop_all）,,,用于存储宝尊公司内部的组织架构,,,,,,,,,,,,,,,,
shop_id,String,,店铺ID,,,,,,,,,,,,,,,,
shop_name,String,阿迪、耐克、puma等,店铺层：如阿迪、耐克、puma等,,,,,,,,,,,,,,,,
manager_id,String,,负责人ID,,,,,,,,,,,,,,,,
BG,String,"FAS,SCG,SPS,CBC,DLS,GBO,LBG等","BG层：8大事业部：FAS,SCG,SPS,CBC,DLS,GBO,LBG等，如服饰、快消、3c数码、美妆等",,,,,,,,,,,,,,,,
BU,String,男装、女装、童装等,BU层：如服饰下有男装、女装、童装等,,,,,,,,,,,,,,,,
create_time,DateTime64,2021-08-31 08:38:34,记录创建时间,,,,,,,,,,,,,,,,
update_time,DateTime64,2021-08-31 08:38:34,记录更新时间,,,,,,,,,,,,,,,,
索引键：shop_id,,,,,,,,,,,,,,,,,,,
CH实现方案：MongoToClickHouseOperator + Buffer + ReplicatedMergeTree,T+1全量更新,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
实时告警表（xqc_ods.event_alert_all）覆盖XQC标品,,,实时写入每条告警记录，提供实时告警统计信息以及历史明细查询,,,,,,,,,,,,,,,,
id,String,,告警ID（对warning_type+message_id使用md5生成）,,,,,,,,,,,,,,,,
warning_type,String,,告警项（告警内容）,,,,,,,,,,,,,,,,
level,Int64,,告警类型（告警等级）,,,,,,,,,,,,,,,,
dialog_id,String,,会话id,,,,,,,,,,,,,,,,
time,Int64,,告警开始时间,,,,,,,,,,,,,,,,
day,Int64,20210901,告警开始日期,,,,,,,,,,,,,,,,
is_finish,Bool,未处理false，已处理true,是否处理,,,,,,,,,,,,,,,,
finish_time,Int64,,处理时间,,,,,,,,,,,,,,,,
分区键：day,索引键：shop_id,排序键：id,,,,,,,,,,,,,,,,,
CH实现方案：Pulsar + Buffer + ReplacingMergeTree,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
会话表（xqc_ods.dialog_all）,,,,,,,,,,,,,,,,,,,
id,String,,,,,,,,,,,,,,,,,,
platform,String,,平台,,,,,,,,,,,,,,,,
shop_id,String,,店铺ID（mpshopid）,,,,,,,,,,,,,,,,
shop_name,String,,店铺名称（plat_user_id）,,,,,,,,,,,,,,,,
seller_nick ,String,,主账号,,,,,,,,,,,,,,,,
snick,String,,子账号,,,,,,,,,,,,,,,,
cnick,String,,顾客昵称,,,,,,,,,,,,,,,,
employee_name,String,,客服名,,,,,,,,,,,,,,,,
superior_name,String,,上级名,,,,,,,,,,,,,,,,
day,Int64,20210901,,,,,,,,,,,,,,,,,
time,Int64,,,,,,,,,,,,,,,,,,
hour,Int64,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
分区键：day,索引键：shop_id,排序键：,,,,,,,,,,,,,,,,,
CH实现方案：MongoToClickHouseOperator + Buffer + ReplicatedMergeTree,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
历史告警统计表（xqc_dwd.event_alert_stat_all）待定,,,按天统计每天的告警信息，提供历史告警统计信息查询,,,,,,,,,,,,,,,,
day,Int64,20210901,日期,,,,,,,,,,,,,,,,
dialog_cnt,Int64,,会话数量,,,,,,,,,,,,,,,,
levels,Array[Int64],"[0,1,2]",告警等级,,,,,,,,,,,,,,,,
warn_cnts,Array[Int64],"[128,32,16]",不同等级下的告警会话数量,,,,,,,,,,,,,,,,
shop_id,String,,店铺ID,,,,,,,,,,,,,,,,
shop_name,String,阿迪、耐克、puma等,店铺层：如阿迪、耐克、puma等,,,,,,,,,,,,,,,,
manager_id,String,,负责人ID,,,,,,,,,,,,,,,,
BG,String,"FAS,SCG,SPS,CBC,DLS,GBO,LBG等","BG层：8大事业部：FAS,SCG,SPS,CBC,DLS,GBO,LBG等，如服饰、快消、3c数码、美妆等",,,,,,,,,,,,,,,,
BU,String,男装、女装、童装等,BU层：如服饰下有男装、女装、童装等,,,,,,,,,,,,,,,,
分区键：day,索引键：shop_id,,,,,,,,,,,,,,,,,,
